model_rollout_seconds,one_step_mae,one_step_relative_rmse,one_step_rmse,rollout_mae,rollout_relative_rmse,rollout_rmse,rollout_steps,solver_seconds
0.43462304398417473,0.0011114791268482804,0.10598273575305939,0.007842423394322395,0.018652012571692467,1.0088993310928345,0.0744689330458641,199.0,0.022301513236016035
0.38488181540742517,0.001117847510613501,0.11845262348651886,0.008885976858437061,0.018773747608065605,1.0091580152511597,0.07551474124193192,199.0,0.025362583342939615
0.32255332032218575,0.00111742177978158,0.11080098152160645,0.008257430046796799,0.018769482150673866,1.008933424949646,0.07500253617763519,199.0,0.025628252886235714
0.32292056316509843,0.0011130792554467916,0.10629785805940628,0.007874149829149246,0.018760597333312035,1.0083093643188477,0.07450494170188904,199.0,0.02489363495260477
0.3221459137275815,0.0011290092952549458,0.10934479534626007,0.00845502968877554,0.019362302497029305,1.0081764459609985,0.0777616873383522,199.0,0.03498664917424321
0.3231288339011371,0.0011260021710768342,0.10559779405593872,0.008114962838590145,0.01934026926755905,1.008178949356079,0.07728254795074463,199.0,0.032954616006463766
0.32499486207962036,0.001127691357396543,0.10759630799293518,0.008291621692478657,0.019296370446681976,1.00863516330719,0.0775333046913147,199.0,0.03328725276514888
0.35184155125170946,0.0011277589946985245,0.11328866332769394,0.008745728060603142,0.01930856890976429,1.0091081857681274,0.07770685851573944,199.0,0.03238574508577585
0.32318925810977817,0.0012035295367240906,0.10342373698949814,0.007950056344270706,0.019638609141111374,1.012265682220459,0.07761695235967636,199.0,0.025043926667422056
0.3231220878660679,0.0012150267139077187,0.11063095182180405,0.00864827074110508,0.019805533811450005,1.01204252243042,0.07891570031642914,199.0,0.02511702012270689
0.3223627586849034,0.0012037153355777264,0.10283070057630539,0.007892195135354996,0.019740190356969833,1.0122755765914917,0.07749717682600021,199.0,0.025451417081058025
0.3173589212819934,0.0012026753975078464,0.10258122533559799,0.007867957465350628,0.019729670137166977,1.0121495723724365,0.07743743062019348,199.0,0.025044552981853485
0.32822230691090226,0.0012189722619950771,0.10278299450874329,0.008175048977136612,0.020279673859477043,1.011906385421753,0.08028261363506317,199.0,0.035685955081135035
0.32658770587295294,0.0012303070398047566,0.10749991983175278,0.008687276393175125,0.020490502938628197,1.0115855932235718,0.08154366165399551,199.0,0.03645745385438204
0.3260726882144809,0.0012282644165679812,0.10556474328041077,0.008491573855280876,0.020391035825014114,1.0115456581115723,0.0811646357178688,199.0,0.034286004956811666
0.32331929728388786,0.001236886833794415,0.11386839300394058,0.009270735085010529,0.020459763705730438,1.0116511583328247,0.08215875178575516,199.0,0.03468574536964297
0.3126152865588665,0.0011164116440340877,0.10842889547348022,0.007723115850239992,0.01783382147550583,1.0072332620620728,0.07156319916248322,199.0,0.020266043953597546
0.6054290779866278,0.0011141852010041475,0.10980486869812012,0.00783268827944994,0.01772048883140087,1.0076113939285278,0.07169592380523682,199.0,0.02003683801740408
0.5119068534113467,0.00111835403367877,0.11301995068788528,0.00807657279074192,0.017899928614497185,1.0078600645065308,0.0718429908156395,199.0,0.01976142358034849
0.5123671158216894,0.0011151640210300684,0.1096823513507843,0.007775678765028715,0.017742818221449852,1.0079728364944458,0.07127916067838669,199.0,0.020406858064234257
0.41720503894612193,0.0011313449358567595,0.11169806122779846,0.008292293176054955,0.018474776297807693,1.0072646141052246,0.07459070533514023,199.0,0.028591693844646215
0.4157430101186037,0.0011324157239869237,0.11937469989061356,0.008871552534401417,0.01844344288110733,1.0071836709976196,0.07466346770524979,199.0,0.034884174820035696
0.4124923520721495,0.001130964607000351,0.11914107203483582,0.008806229569017887,0.018397444859147072,1.0075443983078003,0.07428563386201859,199.0,0.029842916876077652
0.3311951751820743,0.0011279182508587837,0.10794840008020401,0.007944068871438503,0.018260659649968147,1.0068095922470093,0.07390712946653366,199.0,0.032654973678290844
0.31623677304014564,0.0011602492304518819,0.11349430680274963,0.008760008960962296,0.019504226744174957,1.0113579034805298,0.07786591351032257,199.0,0.02485907217487693
0.31671182019636035,0.0011574021773412824,0.11205631494522095,0.008577022701501846,0.01942126452922821,1.0116312503814697,0.07723862677812576,199.0,0.024284294340759516
0.32336419401690364,0.0011626227060332894,0.11347324401140213,0.00875457189977169,0.019496198743581772,1.0113319158554077,0.07783003896474838,199.0,0.026426768861711025
0.35152723733335733,0.0011561601422727108,0.10807517915964127,0.008228779770433903,0.019376453012228012,1.01180100440979,0.0768451914191246,199.0,0.02685926016420126
0.34084492130205035,0.0011766018578782678,0.11019989103078842,0.008798200637102127,0.02016942948102951,1.011030673980713,0.08051726967096329,199.0,0.03421613294631243
0.33458304312080145,0.0011731458362191916,0.1095818281173706,0.008706099353730679,0.020041484385728836,1.0111346244812012,0.08013202995061874,199.0,0.034024334978312254
0.32974934205412865,0.001173427444882691,0.10837877541780472,0.008611849509179592,0.020064450800418854,1.011111855506897,0.08014260232448578,199.0,0.03564066393300891
0.32838303595781326,0.0011745716910809278,0.11007437109947205,0.008768142201006413,0.020080864429473877,1.0110561847686768,0.08033572137355804,199.0,0.031826192047446966
0.325306701939553,0.0011150469072163105,0.11533410847187042,0.008634866215288639,0.0188616830855608,1.0086456537246704,0.07532664388418198,199.0,0.024334361776709557
0.32497645867988467,0.0011089363833889365,0.10504501312971115,0.007757931016385555,0.018605053424835205,1.0080761909484863,0.07426359504461288,199.0,0.024022168945521116
0.32277472596615553,0.0011093411594629288,0.10531670600175858,0.007785669527947903,0.018640026450157166,1.0088732242584229,0.07439562678337097,199.0,0.02517681196331978
0.3220950742252171,0.0011150448117405176,0.10944590717554092,0.008146868087351322,0.01887374557554722,1.0092110633850098,0.07493510097265244,199.0,0.025147360749542713
0.32519212225452065,0.001123804016970098,0.1053839921951294,0.008073469623923302,0.01925811357796192,1.0080538988113403,0.07703381776809692,199.0,0.026285958010703325
0.3254869761876762,0.0011290020775049925,0.11162189394235611,0.008649245835840702,0.019384494051337242,1.0082449913024902,0.07793041318655014,199.0,0.03954487480223179
0.31982460524886847,0.0011275726137682796,0.10858862847089767,0.008382792584598064,0.019368629902601242,1.0080997943878174,0.07762827724218369,199.0,0.02801624173298478
0.49839093489572406,0.0011231520911678672,0.10559465736150742,0.008097697980701923,0.019298681989312172,1.008542537689209,0.07714823633432388,199.0,0.027456709183752537
0.5330017870292068,0.001117817242629826,0.11926747858524323,0.008659051731228828,0.01808866113424301,1.0080457925796509,0.07300300151109695,199.0,0.018280814867466688
0.583920496981591,0.0011124694719910622,0.10902708023786545,0.007829182781279087,0.017989683896303177,1.0079017877578735,0.0721958801150322,199.0,0.019512528087943792
0.5525394277647138,0.001114850863814354,0.1138858050107956,0.008198940195143223,0.01784578152000904,1.0078657865524292,0.07237739861011505,199.0,0.018989551812410355
0.5514734680764377,0.001112319529056549,0.10691071301698685,0.007649916224181652,0.017876656726002693,1.0076700448989868,0.07192269712686539,199.0,0.019083563704043627
0.4161890740506351,0.0011307757813483477,0.11737743765115738,0.008847354911267757,0.018672695383429527,1.0073350667953491,0.07573817670345306,199.0,0.034451586194336414
0.427287626080215,0.0011280225589871407,0.11027778685092926,0.008256376720964909,0.018535351380705833,1.00712251663208,0.07521351426839828,199.0,0.036898721009492874
0.34277387196198106,0.0011270905379205942,0.10729837417602539,0.008040837943553925,0.01857287436723709,1.00672447681427,0.07525423169136047,199.0,0.033213318325579166
0.325105763040483,0.00112785748206079,0.10770239681005478,0.008063924498856068,0.01855924353003502,1.0068527460098267,0.075196772813797,199.0,0.03522863797843456
0.32337175495922565,0.0012069044169038534,0.10467100143432617,0.008038225583732128,0.019520791247487068,1.0122110843658447,0.07753843069076538,199.0,0.024513525888323784
0.31919091986492276,0.0012040785513818264,0.10434991866350174,0.00795998889952898,0.019495470449328423,1.012294888496399,0.0770263820886612,199.0,0.02489730389788747
0.3258517370559275,0.0012164271902292967,0.11236285418272018,0.00876983068883419,0.019678303971886635,1.0121335983276367,0.0787985771894455,199.0,0.02663223911076784
0.3740242817439139,0.0012143597705289721,0.1110791265964508,0.008654843084514141,0.019742818549275398,1.0124635696411133,0.07868975400924683,199.0,0.024534924887120724
0.3254902120679617,0.0012336507206782699,0.10797642171382904,0.00868864357471466,0.020348114892840385,1.0114681720733643,0.08118715137243271,199.0,0.03559931879863143
0.32219222327694297,0.001235324190929532,0.11093725264072418,0.00895090401172638,0.020351549610495567,1.0117465257644653,0.08142790198326111,199.0,0.032514773309230804
