long_rollout_rmse,long_vs_short_ratio,model_rollout_seconds,one_step_mae,one_step_relative_rmse,one_step_rmse,rollout_mae,rollout_relative_rmse,rollout_rmse,rollout_steps,short_rollout_rmse,solver_seconds
0.07450494170188904,0.5994439972540351,0.2810490936972201,0.0011130792554467916,0.10629785805940628,0.007874149829149246,0.018760597333312035,1.0083093643188477,0.07450494170188904,199.0,0.12429007887840271,0.018137197010219097
0.08625759184360504,0.6501960197593398,0.2870603739283979,0.0011895676143467426,0.10050145536661148,0.008600163273513317,0.021326560527086258,1.0105341672897339,0.08625759184360504,199.0,0.13266398012638092,0.02681630104780197
0.08582264184951782,0.6516985978001073,0.2874926868826151,0.0011876405915245414,0.09673042595386505,0.008236497640609741,0.021313287317752838,1.0104397535324097,0.08582264184951782,199.0,0.13169069588184357,0.026360746938735247
0.08677978068590164,0.6491814464312309,0.28771090181544423,0.0011952220229431987,0.1060328409075737,0.009133280254900455,0.021367846056818962,1.0099972486495972,0.08677978068590164,199.0,0.1336756944656372,0.02822640771046281
0.07761695235967636,0.6057967800150705,0.2811884586699307,0.0012035295367240906,0.10342373698949814,0.007950056344270706,0.019638609141111374,1.012265682220459,0.07761695235967636,199.0,0.12812374532222748,0.01901367586106062
0.0811646357178688,0.6051261675099608,0.2834439040161669,0.0012282644165679812,0.10556474328041077,0.008491573855280876,0.020391035825014114,1.0115456581115723,0.0811646357178688,199.0,0.13412845134735107,0.028994373977184296
0.07988165318965912,0.6430225749597374,0.2802139460109174,0.0011338518233969808,0.09790487587451935,0.007788121234625578,0.019488895311951637,1.006715178489685,0.07988165318965912,199.0,0.12422838062047958,0.0193940456956625
0.08339007198810577,0.6420414442858651,0.28789497213438153,0.001150282216258347,0.10507388412952423,0.008726050145924091,0.02032402902841568,1.0066521167755127,0.08339007198810577,199.0,0.12988269329071045,0.02692063571885228
0.08336241543292999,0.6427917072981847,0.29022581689059734,0.0011498600943014026,0.10080759972333908,0.008371093310415745,0.020315881818532944,1.0063971281051636,0.08336241543292999,199.0,0.1296880692243576,0.029530493076890707
0.07580000162124634,0.6105562326708219,0.27689897594973445,0.0011154430685564876,0.11280133575201035,0.008502096869051456,0.018659478053450584,1.0081967115402222,0.07580000162124634,199.0,0.12414909154176712,0.018717383034527302
0.07940421253442764,0.61057629948626,0.2832223013974726,0.0011315111769363284,0.11452063918113708,0.009051213040947914,0.019410811364650726,1.0071831941604614,0.07940421253442764,199.0,0.1300479769706726,0.02610529074445367
0.08137979358434677,0.6470958856909403,0.2811982808634639,0.001137970364652574,0.10510874539613724,0.008500936441123486,0.01992066018283367,1.0087339878082275,0.08137979358434677,199.0,0.12576156854629517,0.01939754281193018
0.08377418667078018,0.6475235522405078,0.2826623390428722,0.0011498890817165375,0.09598653763532639,0.007995408959686756,0.020640797913074493,1.008249044418335,0.08377418667078018,199.0,0.12937627732753754,0.02842450002208352
