family,long_rollout_rmse,long_vs_short_ratio,model_rollout_seconds,model_steps_per_second,num_cases,one_step_mae,one_step_relative_rmse,one_step_rmse,rollout_mae,rollout_relative_rmse,rollout_rmse,rollout_steps,short_rollout_rmse,solver_seconds,solver_steps_per_second
id,,,0.38176555255324474,521.2623262342286,180,0.0018954322618406473,0.12667475872569614,0.008049652727398401,0.026515441615548398,1.07464390165276,0.06667568694489698,199.0,,0.02799294877331704,7108.93309638345
parameter_shift,,,0.3005029673644247,662.2230780126359,552,0.0019190514644108496,0.1275525928299496,0.008610398718662074,0.02677296691884597,1.052331368452397,0.06947084614480643,199.0,,0.02419384681633201,8225.231874480805
geometry_shift,,,0.28776937176119716,691.5259910465328,416,0.0019569787550258646,0.12985386428996348,0.00813626798480982,0.027142642699450683,1.073912497323293,0.0657619234340158,199.0,,0.02342612096309984,8494.790935019038
long_rollout,0.06667568694489698,1.1896606045463103,0.2837910927211245,701.2200351036144,180,0.0018954322618406473,0.12667475872569614,0.008049652727398401,0.026515441615548398,1.07464390165276,0.06667568694489698,199.0,0.08511196398176253,0.023482751114190452,8474.30520522554
