baseline_rmse_mean,compute_norm,compute_units,deferred_frac,family,hybrid_rmse_mean,n_fno,n_full_defers,param,policy,wall_s_forward
0.082272493865134,1.0,35820.0,1.0,id,0.0,0,180,,always_defer,0.0
0.082272493865134,1.0,35820.0,0.0,id,0.082272493865134,35820,0,,always_predict,0.0
0.082272493865134,1.0,35820.0,0.95,id,0.0008111645260618792,1791,171,-10.039175462722778,hybrid_global,3.172926534898579
0.082272493865134,1.0,35820.0,0.8666666666666667,id,0.0021544369248052437,4776,156,-9.969390656731346,hybrid_global,7.327031025197357
0.082272493865134,1.0,35820.0,0.7833333333333333,id,0.003514310127745072,7761,141,-9.943613247437911,hybrid_global,11.661786963231862
0.082272493865134,1.0,35820.0,0.7055555555555556,id,0.005950742282180323,10547,127,-8.061534188010476,hybrid_global,15.579199760220945
0.082272493865134,1.0,35820.0,0.6222222222222222,id,0.010005144117813971,13532,112,-7.7228135672482585,hybrid_global,19.83137632953003
0.082272493865134,1.0,35820.0,0.5388888888888889,id,0.014919496312116583,16517,97,-7.409627715024081,hybrid_global,24.09630283014849
0.082272493865134,1.0,35820.0,0.46111111111111114,id,0.021211203751671646,19303,83,-6.531557696515864,hybrid_global,28.179958747699857
0.082272493865134,1.0,35820.0,0.37777777777777777,id,0.029186623610763088,22288,68,-6.18757305578752,hybrid_global,32.25425702892244
0.082272493865134,1.0,35820.0,0.29444444444444445,id,0.037555334742905365,25273,53,-5.849182313138789,hybrid_global,36.94240070460364
0.082272493865134,1.0,35820.0,0.21666666666666667,id,0.046922842107920186,28059,39,5.741426342183893,hybrid_global,41.20638557197526
0.082272493865134,1.0,35820.0,0.13333333333333333,id,0.05992136600220369,31044,24,6.5966978701678185,hybrid_global,44.66139391437173
0.082272493865134,1.0,35820.0,0.05,id,0.07367014589512513,34029,9,7.636231470108032,hybrid_global,49.18619087245315
0.082272493865134,2.4909332580689365,89225.2293040293,0.9605498259087369,id,nan,35820,0,0.05,hybrid_local,96.74314578343183
0.082272493865134,2.453319190580497,87877.89340659342,0.9349515679169577,id,nan,35820,0,0.15,hybrid_local,98.83341872692108
0.082272493865134,2.4230151265075888,86792.40183150183,0.914514294165534,id,nan,35820,0,0.25,hybrid_local,97.40603281976655
0.082272493865134,2.3693937330118238,84871.68351648352,0.8800918350483092,id,nan,35820,0,0.35,hybrid_local,97.01401759451255
0.082272493865134,2.2099953777843226,79162.03443223443,0.7763070056014176,id,nan,35820,0,0.44999999999999996,hybrid_local,96.99500002153218
0.082272493865134,1.4039363790871329,50289.0010989011,0.25069346259776504,id,nan,35820,0,0.5499999999999999,hybrid_local,95.46078238729388
0.082272493865134,1.0,35820.0,0.0,id,0.082272493865134,35820,0,0.65,hybrid_local,95.77510175760835
0.082272493865134,1.0,35820.0,0.0,id,0.082272493865134,35820,0,0.75,hybrid_local,96.53109267819673
0.082272493865134,1.0,35820.0,0.0,id,0.082272493865134,35820,0,0.85,hybrid_local,97.09817554801702
0.082272493865134,1.0,35820.0,0.0,id,0.082272493865134,35820,0,0.95,hybrid_local,98.26798562752083
0.08571467194301279,1.0,109848.0,1.0,parameter_shift,0.0,0,552,,always_defer,0.0
0.08571467194301279,1.0,109848.0,0.0,parameter_shift,0.08571467194301279,109848,0,,always_predict,0.0
0.08571467194301279,1.0,109848.0,0.9492753623188406,parameter_shift,0.0008097176500798568,5572,524,-9.983287382125855,hybrid_global,9.419656636193395
0.08571467194301279,1.0,109848.0,0.8677536231884058,parameter_shift,0.0021117130949067464,14527,479,-9.930567953803322,hybrid_global,22.457725507207215
0.08571467194301279,1.0,109848.0,0.7862318840579711,parameter_shift,0.005040978864375232,23482,434,-8.123215597326105,hybrid_global,35.053480992559344
0.08571467194301279,1.0,109848.0,0.7047101449275363,parameter_shift,0.008870348395050867,32437,389,-7.778477668762207,hybrid_global,47.389624905306846
0.08571467194301279,1.0,109848.0,0.6231884057971014,parameter_shift,0.013494220326074224,41392,344,-7.5167666651985865,hybrid_global,60.65963647747412
0.08571467194301279,1.0,109848.0,0.5416666666666666,parameter_shift,0.019469577056504248,50347,299,-6.639706685326316,hybrid_global,72.34220099402592
0.08571467194301279,1.0,109848.0,0.4583333333333333,parameter_shift,0.027168139552130648,59501,253,-6.490932102636857,hybrid_global,84.38120270054787
0.08571467194301279,1.0,109848.0,0.37681159420289856,parameter_shift,0.03483119775014727,68456,208,-6.314437346024946,hybrid_global,96.98079759487882
0.08571467194301279,1.0,109848.0,0.29528985507246375,parameter_shift,0.042634065418193735,77411,163,-6.000611641190269,hybrid_global,111.374493222218
0.08571467194301279,1.0,109848.0,0.213768115942029,parameter_shift,0.051790945819052664,86366,118,5.776027035713196,hybrid_global,123.47178170178086
0.08571467194301279,1.0,109848.0,0.1322463768115942,parameter_shift,0.06416560044728112,95321,73,6.781583241982894,hybrid_global,136.2786043123342
0.08571467194301279,1.0,109848.0,0.050724637681159424,parameter_shift,0.07709817493172444,104276,28,7.614636039733886,hybrid_global,146.97124023735523
0.08571467194301279,2.4577742024076956,269981.58058608056,0.9573659695066112,parameter_shift,nan,109848,0,0.05,hybrid_local,296.97273325547576
0.08571467194301279,2.420141801671734,265847.7366300366,0.9311585611214264,parameter_shift,nan,109848,0,0.15,hybrid_local,296.57795697124675
0.08571467194301279,2.3869736516366404,262204.28168498166,0.9078210995166478,parameter_shift,nan,109848,0,0.25,hybrid_local,295.62933679204434
0.08571467194301279,2.3326685485878187,256238.97472527472,0.8720820145963959,parameter_shift,nan,109848,0,0.35,hybrid_local,294.6382469092496
0.08571467194301279,2.1787936770703866,239336.12783882784,0.7674386098766692,parameter_shift,nan,109848,0,0.44999999999999996,hybrid_local,296.0343223423697
0.08571467194301279,1.3746442069934532,151001.91684981686,0.23429338385550325,parameter_shift,nan,109848,0,0.5499999999999999,hybrid_local,295.5151116964407
0.08571467194301279,1.0,109848.0,0.0,parameter_shift,0.08571467194301279,109848,0,0.65,hybrid_local,296.3066748692654
0.08571467194301279,1.0,109848.0,0.0,parameter_shift,0.08571467194301279,109848,0,0.75,hybrid_local,297.8759524272755
0.08571467194301279,1.0,109848.0,0.0,parameter_shift,0.08571467194301279,109848,0,0.85,hybrid_local,296.8003021883778
0.08571467194301279,1.0,109848.0,0.0,parameter_shift,0.08571467194301279,109848,0,0.95,hybrid_local,297.8531774189323
0.07905932939880025,1.0,82784.0,1.0,geometry_shift,0.0,0,416,,always_defer,0.0
0.07905932939880025,1.0,82784.0,0.0,geometry_shift,0.07905932939880025,82784,0,,always_predict,0.0
0.07905932939880025,1.0,82784.0,0.9495192307692307,geometry_shift,0.0008153900898133332,4179,395,-9.955265522003174,hybrid_global,7.2922104564495385
0.07905932939880025,1.0,82784.0,0.8677884615384616,geometry_shift,0.0021444026810618546,10945,361,-9.942416732961481,hybrid_global,17.010961224790663
0.07905932939880025,1.0,82784.0,0.7860576923076923,geometry_shift,0.003476307962465888,17711,327,-9.926928628574718,hybrid_global,26.43932062620297
0.07905932939880025,1.0,82784.0,0.7043269230769231,geometry_shift,0.006026896751091744,24477,293,-8.299584193663163,hybrid_global,36.340676768217236
0.07905932939880025,1.0,82784.0,0.6225961538461539,geometry_shift,0.009519565129616799,31243,259,-8.175752531398427,hybrid_global,45.466072238981724
0.07905932939880025,1.0,82784.0,0.5408653846153846,geometry_shift,0.012982779410846818,38009,225,-7.952843861146407,hybrid_global,54.87975400267169
0.07905932939880025,1.0,82784.0,0.45913461538461536,geometry_shift,0.018502338014793798,44775,191,-6.503750974481756,hybrid_global,65.65754071623087
0.07905932939880025,1.0,82784.0,0.37740384615384615,geometry_shift,0.026156477554020688,51541,157,-6.276349978013472,hybrid_global,74.27258998760954
0.07905932939880025,1.0,82784.0,0.2956730769230769,geometry_shift,0.034061974715978764,58307,123,-5.846749273213473,hybrid_global,84.35244775377214
0.07905932939880025,1.0,82784.0,0.21394230769230768,geometry_shift,0.04395722699476979,65073,89,6.375502131202003,hybrid_global,93.54044392053038
0.07905932939880025,1.0,82784.0,0.13221153846153846,geometry_shift,0.05673071807877232,71839,55,7.407869122245094,hybrid_global,103.08515440952033
0.07905932939880025,1.0,82784.0,0.0,geometry_shift,0.07905932939880025,82784,0,7.669065952301025,hybrid_global,120.06766954623163
0.07905932939880025,2.5486573868567977,210988.05311355312,0.9597816198633345,geometry_shift,nan,82784,0,0.05,hybrid_local,224.46685447590426
0.07905932939880025,2.5148400055362754,208188.51501831503,0.9377730519785451,geometry_shift,nan,82784,0,0.15,hybrid_local,224.43014687113464
0.07905932939880025,2.482885842816506,205543.22161172162,0.9162933788025784,geometry_shift,nan,82784,0,0.25,hybrid_local,225.12311263382435
0.07905932939880025,2.4331488911166144,201425.7978021978,0.8846324473405601,geometry_shift,nan,82784,0,0.35,hybrid_local,225.81750217685476
0.07905932939880025,2.282564785748976,188959.84322344323,0.7869635080315154,geometry_shift,nan,82784,0,0.44999999999999996,hybrid_local,226.20607381453738
0.07905932939880025,1.5399638460688907,127484.36703296704,0.31864631532342275,geometry_shift,nan,82784,0,0.5499999999999999,hybrid_local,223.14749032305554
0.07905932939880025,1.0,82784.0,0.0,geometry_shift,0.07905932939880025,82784,0,0.65,hybrid_local,223.59515133453533
0.07905932939880025,1.0,82784.0,0.0,geometry_shift,0.07905932939880025,82784,0,0.75,hybrid_local,221.31181850703433
0.07905932939880025,1.0,82784.0,0.0,geometry_shift,0.07905932939880025,82784,0,0.85,hybrid_local,220.860272672493
0.07905932939880025,1.0,82784.0,0.0,geometry_shift,0.07905932939880025,82784,0,0.95,hybrid_local,222.4024795042351
0.082272493865134,1.0,35820.0,1.0,long_rollout,0.0,0,180,,always_defer,0.0
0.082272493865134,1.0,35820.0,0.0,long_rollout,0.082272493865134,35820,0,,always_predict,0.0
0.082272493865134,1.0,35820.0,0.95,long_rollout,0.0008111645260618792,1791,171,-10.039175462722778,hybrid_global,3.0460469108074903
0.082272493865134,1.0,35820.0,0.8666666666666667,long_rollout,0.0021544369248052437,4776,156,-9.969390656731346,hybrid_global,7.405124008189887
0.082272493865134,1.0,35820.0,0.7833333333333333,long_rollout,0.003514310127745072,7761,141,-9.943613247437911,hybrid_global,11.53937310166657
0.082272493865134,1.0,35820.0,0.7055555555555556,long_rollout,0.005950742282180323,10547,127,-8.061534188010476,hybrid_global,15.418221747502685
