,residual_mean,residual_max,uncertainty_mean,uncertainty_max,drift_mean,drift_slope,ood_centroid_distance,ood_nn_distance,rollout_rmse
residual_mean,1.0,0.3598121689813288,-0.7790684702788981,-0.05843410411881111,0.9820668826018044,0.9418250454069936,0.31387193172155,0.02256375048384586,0.9577502152722444
residual_max,0.3598121689813288,1.0,-0.2582378385494663,0.35861098781427336,0.30999685861180065,0.17784745828118714,0.12254950831209223,0.01687589301292335,0.5053157086202625
uncertainty_mean,-0.7790684702788981,-0.2582378385494663,1.0,0.14709091910362193,-0.7727300215745958,-0.6222937724418552,-0.08562892022421613,0.019927982429173,-0.8337275929681505
uncertainty_max,-0.05843410411881111,0.35861098781427336,0.14709091910362193,1.0,-0.07950579184921668,-0.089532475537891,-0.013073873589421336,0.015638976067848323,-0.023109905498151055
drift_mean,0.9820668826018044,0.30999685861180065,-0.7727300215745958,-0.07950579184921668,1.0,0.9628667686264804,0.34713561199766596,0.028052759330382843,0.9589660520187945
drift_slope,0.9418250454069936,0.17784745828118714,-0.6222937724418552,-0.089532475537891,0.9628667686264804,1.0,0.3923040770820154,0.03419343767821412,0.8593405875805128
ood_centroid_distance,0.31387193172155,0.12254950831209223,-0.08562892022421613,-0.013073873589421336,0.34713561199766596,0.3923040770820154,1.0,0.26429125433791034,0.29288385867449435
ood_nn_distance,0.02256375048384586,0.01687589301292335,0.019927982429173,0.015638976067848323,0.028052759330382843,0.03419343767821412,0.26429125433791034,1.0,0.024546475468012603
rollout_rmse,0.9577502152722444,0.5053157086202625,-0.8337275929681505,-0.023109905498151055,0.9589660520187945,0.8593405875805128,0.29288385867449435,0.024546475468012603,1.0
