coverage,family,selective_risk,selector_type
0.5,id,0.028118114918470383,global_learned
0.5,id,0.028118114918470383,global_oracle
0.6000000238418579,id,0.03601931035518646,global_learned
0.6000000238418579,id,0.03586148843169212,global_oracle
0.699999988079071,id,0.042265377938747406,global_learned
0.699999988079071,id,0.04219907522201538,global_oracle
0.75,id,0.04505639895796776,global_learned
0.75,id,0.04505639895796776,global_oracle
0.800000011920929,id,0.04948742687702179,global_learned
0.800000011920929,id,0.049335770308971405,global_oracle
0.8999999761581421,id,0.05767005309462547,global_learned
0.8999999761581421,id,0.05762471631169319,global_oracle
0.5,id,0.0027266123797744513,local_learned
0.5,id,0.0013338709250092506,local_oracle
0.5,id,0.0013633063063025475,local_hybrid_learned
0.5,id,0.0006669355207122862,local_hybrid_oracle
0.6000000238418579,id,0.00276899803429842,local_learned
0.6000000238418579,id,0.0015136334113776684,local_oracle
0.6000000238418579,id,0.0016613990301266313,local_hybrid_learned
0.6000000238418579,id,0.0009081801981665194,local_hybrid_oracle
0.699999988079071,id,0.002718070289120078,local_learned
0.699999988079071,id,0.0017608386697247624,local_oracle
0.699999988079071,id,0.0019026492955163121,local_hybrid_learned
0.699999988079071,id,0.001232587150298059,local_hybrid_oracle
0.75,id,0.002672516508027911,local_learned
0.75,id,0.0018854177324101329,local_oracle
0.75,id,0.002004387555643916,local_hybrid_learned
0.75,id,0.001414063386619091,local_hybrid_oracle
0.800000011920929,id,0.002630499191582203,local_learned
0.800000011920929,id,0.0020100960973650217,local_oracle
0.800000011920929,id,0.0021043994929641485,local_hybrid_learned
0.800000011920929,id,0.001608076854608953,local_hybrid_oracle
0.8999999761581421,id,0.002550656208768487,local_learned
0.8999999761581421,id,0.002266884548589587,local_oracle
0.8999999761581421,id,0.002295590238645673,local_hybrid_learned
0.8999999761581421,id,0.0020401959773153067,local_hybrid_oracle
0.5,parameter_shift,0.037148650735616684,global_learned
0.5,parameter_shift,0.03700418025255203,global_oracle
0.6000000238418579,parameter_shift,0.04340957850217819,global_learned
0.6000000238418579,parameter_shift,0.04323502257466316,global_oracle
0.699999988079071,parameter_shift,0.04809432849287987,global_learned
0.699999988079071,parameter_shift,0.04804687947034836,global_oracle
0.75,parameter_shift,0.05018452927470207,global_learned
0.75,parameter_shift,0.050178952515125275,global_oracle
0.800000011920929,parameter_shift,0.053615156561136246,global_learned
0.800000011920929,parameter_shift,0.05373047664761543,global_oracle
0.8999999761581421,parameter_shift,0.06117174029350281,global_learned
0.8999999761581421,parameter_shift,0.06125880777835846,global_oracle
0.5,parameter_shift,0.002661385340616107,local_learned
0.5,parameter_shift,0.0013663091231137514,local_oracle
0.5,parameter_shift,0.0013306925538927317,local_hybrid_learned
0.5,parameter_shift,0.0006831545615568757,local_hybrid_oracle
0.6000000238418579,parameter_shift,0.0027354613412171602,local_learned
0.6000000238418579,parameter_shift,0.0015824430156499147,local_oracle
0.6000000238418579,parameter_shift,0.0016412768745794892,local_hybrid_learned
0.6000000238418579,parameter_shift,0.0009494658443145454,local_hybrid_oracle
0.699999988079071,parameter_shift,0.0027432681526988745,local_learned
0.699999988079071,parameter_shift,0.0018278955249115825,local_oracle
0.699999988079071,parameter_shift,0.001920288079418242,local_hybrid_learned
0.699999988079071,parameter_shift,0.0012795268557965755,local_hybrid_oracle
0.75,parameter_shift,0.0027137640863656998,local_learned
0.75,parameter_shift,0.0019487986573949456,local_oracle
0.75,parameter_shift,0.002035323064774275,local_hybrid_learned
0.75,parameter_shift,0.0014615990221500397,local_hybrid_oracle
0.800000011920929,parameter_shift,0.0026804935187101364,local_learned
0.800000011920929,parameter_shift,0.0020689419470727444,local_oracle
0.800000011920929,parameter_shift,0.0021443949081003666,local_hybrid_learned
0.800000011920929,parameter_shift,0.0016551535809412599,local_hybrid_oracle
0.8999999761581421,parameter_shift,0.0026025220286101103,local_learned
0.8999999761581421,parameter_shift,0.002314792713150382,local_oracle
0.8999999761581421,parameter_shift,0.00234226998873055,local_hybrid_learned
0.8999999761581421,parameter_shift,0.0020833134185522795,local_hybrid_oracle
0.5,geometry_shift,0.024354010820388794,global_learned
0.5,geometry_shift,0.024354012683033943,global_oracle
0.6000000238418579,geometry_shift,0.03289063274860382,global_learned
0.6000000238418579,geometry_shift,0.03270410746335983,global_oracle
0.699999988079071,geometry_shift,0.039318397641181946,global_learned
0.699999988079071,geometry_shift,0.03922358900308609,global_oracle
0.75,geometry_shift,0.04225292429327965,global_learned
0.75,geometry_shift,0.04225292429327965,global_oracle
0.800000011920929,geometry_shift,0.047172341495752335,global_learned
0.800000011920929,geometry_shift,0.04707498103380203,global_oracle
