,residual_mean,residual_max,uncertainty_mean,uncertainty_max,drift_mean,drift_slope,ood_centroid_distance,ood_nn_distance,rollout_rmse
residual_mean,1.0,0.3800566325157676,-0.3942493445025686,0.8615954958356479,0.9839322039690637,0.9553212675188066,0.3269764179644043,0.19557819898928921,0.9349637486249629
residual_max,0.3800566325157676,1.0,-0.17382858743440022,0.20432574180326157,0.2521293471701565,0.16585239616353287,0.2305201057729457,0.2288246863656026,0.34553514752332104
uncertainty_mean,-0.3942493445025686,-0.17382858743440022,1.0,-0.08832336719114017,-0.42541892474931436,-0.28203618052297796,0.08998288158166527,0.13427113333560842,-0.6342815180511372
uncertainty_max,0.8615954958356479,0.20432574180326157,-0.08832336719114017,1.0,0.8649355304137857,0.8930087885734819,0.28940786883346753,0.15862821382851844,0.7329560664652409
drift_mean,0.9839322039690637,0.2521293471701565,-0.42541892474931436,0.8649355304137857,1.0,0.9789486351723935,0.27899388860954866,0.12214479516597156,0.9442574337557139
drift_slope,0.9553212675188066,0.16585239616353287,-0.28203618052297796,0.8930087885734819,0.9789486351723935,1.0,0.3229696369505453,0.13651282910342066,0.8591724181221528
ood_centroid_distance,0.3269764179644043,0.2305201057729457,0.08998288158166527,0.28940786883346753,0.27899388860954866,0.3229696369505453,1.0,0.5712694162957573,0.1890524004715821
ood_nn_distance,0.19557819898928921,0.2288246863656026,0.13427113333560842,0.15862821382851844,0.12214479516597156,0.13651282910342066,0.5712694162957573,1.0,0.05458474614609643
rollout_rmse,0.9349637486249629,0.34553514752332104,-0.6342815180511372,0.7329560664652409,0.9442574337557139,0.8591724181221528,0.1890524004715821,0.05458474614609643,1.0
